date,impressions,estimate_status,source_row
2024-11-01,121,reported,14
2024-11-02,250,reported,15
2024-11-03,346,reported,16
2024-11-04,286,reported,17
2024-11-05,268,reported,18
2024-11-06,185,reported,19
2024-11-07,265,reported,20
2024-11-08,343,reported,21
2024-11-09,246,reported,22
2024-11-10,290,reported,23
2024-11-11,317,reported,24
2024-11-12,303,reported,25
2024-11-13,351,reported,26
2024-11-14,338,reported,27
2024-11-15,394,reported,28
2024-11-16,324,reported,29
2024-11-17,374,reported,30
2024-11-18,311,reported,31
2024-11-19,295,reported,32
2024-11-20,262,reported,33
2024-11-21,451,reported,34
2024-11-22,265,reported,35
2024-11-23,242,reported,36
2024-11-24,246,reported,37
2024-11-25,289,reported,38
2024-11-26,236,reported,39
2024-11-27,196,reported,40
2024-11-28,209,reported,41
2024-11-29,223,reported,42
2024-11-30,244,reported,43
2024-12-01,270,reported,44
2024-12-02,275,reported,45
2024-12-03,326,reported,46
2024-12-04,385,reported,47
2024-12-05,263,reported,48
2024-12-06,253,reported,49
2024-12-07,297,reported,50
2024-12-08,293,reported,51
2024-12-09,318,reported,52
2024-12-10,364,reported,53
2024-12-11,339,reported,54
2024-12-12,354,reported,55
2024-12-13,459,reported,56
2024-12-14,444,reported,57
2024-12-15,522,reported,58
2024-12-16,342,reported,59
2024-12-17,328,reported,60
2024-12-18,352,reported,61
2024-12-19,404,reported,62
2024-12-20,339,reported,63
2024-12-21,343,reported,64
2024-12-22,401,reported,65
2024-12-23,336,reported,66
2024-12-24,359,reported,67
2024-12-25,390,reported,68
2024-12-26,468,reported,69
2024-12-27,359,reported,70
2024-12-28,433,reported,71
2024-12-29,481,reported,72
2024-12-30,395,reported,73
2024-12-31,311,reported,74
2025-01-01,330,reported,75
2025-01-02,456,reported,76
2025-01-03,507,reported,77
2025-01-04,471,reported,78
2025-01-05,434,reported,79
2025-01-06,448,reported,80
2025-01-07,448,reported,81
2025-01-08,392,reported,82
2025-01-09,395,reported,83
2025-01-10,402,reported,84
2025-01-11,395,reported,85
2025-01-12,398,reported,86
2025-01-13,337,reported,87
2025-01-14,361,reported,88
2025-01-15,373,reported,89
2025-01-16,386,reported,90
2025-01-17,348,reported,91
2025-01-18,362,reported,92
2025-01-19,437,reported,93
2025-01-20,427,reported,94
2025-01-21,420,reported,95
2025-01-22,446,reported,96
2025-01-23,443,reported,97
