rank_by_net_order_volume,partner,domain,links,clicks,orders,net_order_volume,commissions,segment
1,Rachel Comey,rachelcomey.com,52.0,671.0,10.0,5632.78,669.83,Top five partners
2,Tibi,tibi.com,12.0,403.0,9.0,4573.25,392.94,Top five partners
3,Aurate,auratenewyork.com,4.0,109.0,5.0,3214.8,530.19,Top five partners
4,Chan Luu,chanluu.com,10.0,308.0,3.0,2146.25,257.55,Top five partners
5,Nomasei,nomasei.com,1.0,624.0,3.0,1759.95,264.0,Top five partners
6,shop-jamiehaller.com,shop-jamiehaller.com,8.0,604.0,3.0,1410.0,128.27,All other partners
7,citizensofhumanity.com,citizensofhumanity.com,28.0,154.0,5.0,1270.0,190.5,All other partners
8,ralphlauren.com,ralphlauren.com,3.0,35.0,1.0,995.0,101.49,All other partners
9,wearcissa.com,wearcissa.com,6.0,86.0,4.0,689.0,103.35,All other partners
10,rozhair.com,rozhair.com,1.0,122.0,4.0,394.25,59.14,All other partners
11,bloomingdales.com,bloomingdales.com,2.0,336.0,1.0,298.0,25.33,All other partners
12,westmorebeauty.com,westmorebeauty.com,1.0,188.0,4.0,279.64,38.03,All other partners
13,eliou.com,eliou.com,32.0,405.0,1.0,185.0,37.0,All other partners
14,forrowan.com,forrowan.com,2.0,5.0,1.0,170.0,25.5,All other partners
15,perfectwhitetee.com,perfectwhitetee.com,2.0,8.0,1.0,96.98,14.55,All other partners
16,ysebeauty.com,ysebeauty.com,0,1.0,1.0,65.0,11.05,All other partners
17,westman-atelier.com,westman-atelier.com,0,2.0,1.0,48.0,7.2,All other partners
18,go.shopmy.us,go.shopmy.us,7.0,619.0,0,0,0,All other partners
19,beautypie.com,beautypie.com,4.0,215.0,0,0,0,All other partners
20,etonshirts.com,etonshirts.com,3.0,190.0,0,0,0,All other partners
21,nobltravel.com,nobltravel.com,1.0,155.0,0,0,0,All other partners
22,rimowa.com,rimowa.com,1.0,138.0,0,0,0,All other partners
23,verishop.com,verishop.com,0,109.0,0,0,0,All other partners
24,zara.com,zara.com,2.0,102.0,0,0,0,All other partners
25,maisonmargiela.com/en-us,maisonmargiela.com/en-us,1.0,86.0,0,0,0,All other partners
26,whiteandwarren.com,whiteandwarren.com,0,21.0,0,0,0,All other partners
27,sskein.co,sskein.co,0,19.0,0,0,0,All other partners
28,jenny-bird.com,jenny-bird.com,0,16.0,0,0,0,All other partners
29,dolcevita.com,dolcevita.com,0,14.0,0,0,0,All other partners
30,farfetch.com,farfetch.com,3.0,13.0,0,0,0,All other partners
31,sephora.com,sephora.com,0,12.0,0,0,0,All other partners
32,shopbop.com,shopbop.com,0,10.0,0,0,0,All other partners
33,charlotte-stone.com,charlotte-stone.com,4.0,10.0,0,0,0,All other partners
34,aflalonyc.com,aflalonyc.com,2.0,8.0,0,0,0,All other partners
35,nordstrom.com,nordstrom.com,0,6.0,0,0,0,All other partners
36,saksfifthavenue.com,saksfifthavenue.com,0,6.0,0,0,0,All other partners
37,janessaleone.com,janessaleone.com,1.0,6.0,0,0,0,All other partners
38,sheplers.com,sheplers.com,1.0,6.0,0,0,0,All other partners
