Created On,Name,Title,Order Count,Clicks,Order Volume,Commissions Earned,Affiliate Merchant,Short URL,Collection Name,Collection URL,URL
09/12/2025,Tiffany Wendel Stylist,Pinstripe Active Knit Zipper Detailed Track Jacket,-,165,-,-,Tibi,https://go.shopmy.us/p-25228529,-,-,https://tibi.com/products/pinstripe-active-knit-zipper-detailed-track-jacket-navy-multi?_pos=3&_psq=pins&_ss=e&_v=1.0
09/12/2025,Tiffany Wendel Stylist,Pinstripe Active Knit Winslow Pant,-,1,-,-,Tibi,https://go.shopmy.us/p-25228513,-,-,https://tibi.com/products/pinstripe-active-knit-winslow-pant-navy-multi?_pos=2&_psq=pinstripe&_ss=e&_v=1.0
09/10/2025,Tiffany Wendel Stylist,Boots In Black Brushed Leather Px 1795 Xlthbnero,-,1,-,-,Paris Texas SRL,https://go.shopmy.us/p-25074963,-,-,https://us.paristexasbrand.com/products/boots-in-black-brushed-leather-px1795xlthbnero?variant=45535021400195&utm_medium=cpc&utm_source=google&utm_campaign=SearchOn_ECOM_PRF_Sales_PMC_US_Tutti_i_prodotti&gclid=Cj0KCQjww4TGBhCKARIsAFLXndTyAnP7QYHxvOh4IrcebQbg_yMPAtlLGOEe-WtVEQQyBtfLZIFVOdwaAnrgEALw_wcB&gad_source=1&gad_campaignid=19964912603&gbraid=0AAAAAo9gB5kofXtS7SJcOLDJ4hIHOgS-2
09/10/2025,Tiffany Wendel Stylist,Calluna Organza Maxi Dress,-,10,-,-,STAUD,https://go.shopmy.us/p-25042635,-,-,https://staud.clothing/products/calluna-dress-magenta-painted-floral-1
09/10/2025,Tiffany Wendel Stylist,Ilana Dress Poinsettia,-,4,-,-,STAUD,https://go.shopmy.us/p-25042454,-,-,https://staud.clothing//products/ilana-dress-poinsettia?variant=41720161992877&nbt=nb%3Aadwords%3Ax%3A21291542540%3A%3A&nb_adtype=pla&nb_kwd=&nb_ti=&nb_mi=116460768&nb_pc=online&nb_pi=shopify_US_7215295103149_41720161992877&nb_ppi=&nb_placement=&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&utm_source=google&utm_medium=cpc&utm_content=pmaxbrand&utm_name=evergreen&nbt=nb%3Aadwords%3Ax%3A21291542540%3A%3A&nb_adtype=pla&nb_kwd=&nb_ti=&nb_mi=116460768&nb_pc=online&nb_pi=shopify_US_7215295103149_41720161992877&nb_ppi=&nb_placement=&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&gad_source=1&gad_campaignid=22612911320&gclid=Cj0KCQjww4TGBhCKARIsAFLXndTKfudsDzyuUzr7NwQoXgSyHU7L0kPd6KoWIeR5m33WiO_gyEPKoWAaApbWEALw_wcB
09/08/2025,Tiffany Wendel Stylist,Lucinda Crinkle Chiffon Tiered Skirt,-,-,-,-,FLANNEL,https://go.shopmy.us/p-24852879,-,-,https://flannelamerica.com/products/lucinda-crinkle-chiffon-tiered-skirt?variant=41663679823966&country=AO&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22804219823&gbraid=0AAAAA-6CcvvjggYoYDbJlvrmr7YHUif94&gclid=CjwKCAjw_fnFBhB0EiwAH_MfZil2wi8_8OHNdArzcFBkFUHv36N6g4zDgYzab6Tv69nLIKPGHA3maBoCpt8QAvD_BwE
09/08/2025,Tiffany Wendel Stylist,Short Allover Ruched Tulle Jacket Cuoio,-,-,-,-,-,https://go.shopmy.us/p-24847944,-,-,https://us.akris.com/products/short-allover-ruched-tulle-jacket-cuoio?gad_source=1&gad_campaignid=17590436148&gbraid=0AAAAACzRcxz1tm8yzOnkQ3oEGiXxQ6i_8&gclid=EAIaIQobChMI542Aru_JjwMVpjWtBh1eDCFzEAQYASABEgKWJvD_BwE
09/08/2025,Tiffany Wendel Stylist,Audrey Unlined Bralette Outlast Seamless Black,6,344,357.00,45.52,Yummie,https://go.shopmy.us/p-24831936,-,-,https://www.yummie.com/products/audrey-unlined-bralette-outlast-seamless-black
09/08/2025,Tiffany Wendel Stylist,Zw Collection Lace Camisole Top,-,-,-,-,-,https://go.shopmy.us/p-24828016,-,-,https://www.zara.com/us/en/zw-collection-lace-camisole-top-p05107285.html?LTKLID=MfMZ2t0gufQxe4iZAt7_vg&sv1=affiliate&sv_campaign_id=136348&v1=463985656&sv1=affiliate&sv_campaign_id=136348&awc=21094_1757348910_56f0163a21a3d1d069a461c7281005b4&utm_source=awin&utm_medium=affiliation&utm_campaign=136348&utm_content=LTK&utm_term=21094_1757348910_56f0163a21a3d1d069a461c7281005b4
09/08/2025,Tiffany Wendel Stylist,Trio Medium Emerald Coin,-,-,-,-,-,https://go.shopmy.us/p-24827632,-,-,https://azleejewelry.com/products/trio-medium-emerald-coin
