product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
,Amazon (US),,,,,USD,,0,1825.57200000000,282,246,395850,0.000000,0.000000
Medium Le City Suede Satchel,Nordstrom,https://product-images-cdn.liketoknow.it/aKKNXAfGVCZucVyx9tLznBow.90RsBpK5zGOF.bAWlTIzrVS40QPg9HdlB0LhBNADBUb8NTd5HosEq1utnlu.qJ5byLDgeeZWoyuy4TN7xwKKSNYVCbQxSREH0W0f.0KBuDPX1zwqFYl99YksT8q.FPucD.ZFI0zVOgAZwErvArd5jij88jtDDIpRaE-?v=2,,Free shipping and returns on Balenciaga Medium Le City Suede Satchel at Nordstrom.com. <p>Balenciaga relaunches its iconic Y2K bag with this updated style crafted from velvety calfskin suede and detailed with signature hardware.</p>,2950.00,USD,https://www.nordstrom.com/s/medium-le-city-suede-satchel/8348691?origin=coordinating-8348691-0-1-PDP_1-recbot-vertex_recs_ymal_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_v2&recs_source=recbot&recs_page_type=product&recs_seed=8348690&color=3503%20KHAKI#fs,137,666.82000000000,4,8,10948,0.029197,0.058394
Zella Road Trip Crinkle Nylon Shorts | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/6_drNZ7V2tIfdMcXk9yVNdPZqR4zSUUDMyccPFLAFeMB4WtSyRtTxzGcV8RkkBsTUkBJGyHMjO_edvkMdBDPt1dbkH02fDnvdPepinBoAS0zsrtkf5KjhffF8nt__gWtS0V7eccECaLJh3QxfjSiQ7tffoKnAaaVvx.Lzf_8urMG?v=2,,Free shipping and returns on Zella Road Trip Crinkle Nylon Shorts at Nordstrom.com. <p>Spend your days off exploring the outdoors in these athletic shorts crafted from durable nylon with a longer inseam for enhanced comfort and coverage.</p>,49.00,USD,https://www.nordstrom.com/s/road-trip-crinkle-nylon-shorts/8122636?origin=coordinating-8122636-0-1-PDP_2.SEEDED_SUB_1-recbot-vertex_recs_fbt_v2&recs_placement=PDP_2.SEEDED_SUB-1&recs_strategy=vertex_recs_fbt_v2&recs_source=recbot&recs_page_type=product&recs_seed=8122629&color=BLACK,996,665.96600000000,91,242,199801,0.091365,0.242971
Jerrel Merino Wool Tank Top,Veronica Beard,https://product-images-cdn.liketoknow.it/MYt7saf5vcCelUaJOQwsKop1AL7iNjJZip2BzqmV8_S5tlgbY6lOAKvizFjBMN8DlVNiBsgMj64iiQj8Qv7pzb3.sho7UKFBnSw.f4UNB0RLNI.Jz_6fssCKC56wj30inrj8hxYNYaB_aMIR_paXFw4GruIriA--?v=2,197787233209,Shop the Jerrel Merino Wool Tank Top in Navy at Veronica Beard. Explore this ribbed tank top style & enjoy free shipping on orders $100+.,258.00,USD,https://veronicabeard.com/products/jerrel-merino-wool-tank-top-navy,5,521.08000000000,1,14,168,0.200000,2.800000
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/2ycN9pP.3z3639Mh3RhY0HjnR0AttxVlJV_k6AFJvCyHQa2ggWHbiPRHvgIrjWnhceafyqYdeyslTVPBDKSkORhdq4tkVxo3XZOoa2nBtAs7gkOjwUSU9um.boLJo52k4Ca4dA--?v=2,F1105-944-482,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin brushed to a rich patina. Stitched welt and stacked leather heel.",1680.00,USD,https://khaite.com/products/clive-boot-35-in-vintage-black,28,470.40000000000,1,2,183,0.035714,0.071428
MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/YUv4ufocVNkkTaUk6.o.6g7GA2nC9PqyBDPfEz_uOhz0qLHwN_RJDmTrLENlqkfHWHIgbPhUdAylZbOJMVO7Tjlu..ivDYYS.zvzHSYNRqeRnW6C85da2xl60iQ0rkvD8E4AbgmooIewnAW16dCgR6s8sZCllizqBVGvaw--?v=2,,"Free shipping and returns on MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans at Nordstrom.com. <p>Cuffed wide legs add to the vintage-chic vibe of these slouchy, low-slung jeans crafted from faded nonstretch denim in Los Angeles.</p>",189.99,USD,https://www.nordstrom.com/s/the-dodger-skimp-high-waist-cuffed-hem-wide-leg-jeans-leap-of-faith/8258875?origin=coordinating-8258875-0-3-PDP_1-recbot-vertex_recs_ymal_atwl_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_atwl_v2&recs_source=recbot&recs_page_type=product&recs_seed=8258877&color=LEAP%20OF%20FAITH,196,441.04200000000,19,121,43792,0.096938,0.617346
Woven Show Leather Slingback Pumps,Saks Fifth Avenue,https://product-images-cdn.liketoknow.it/wVztjkQ_RwIxA0kYldvqT9gGJgKExkMYGLrYFUJcWWWgSXus9awar0UKY69jiI7QY5Xx6dXZzlRvmgbX3342H9Q5i_Z8cRfHyzM16vaFtdpZE9kD1ENddqOSfXrrNiI1I12cJ3gGNu4rzYouIG2uorrGPbGpYUsFaRfhTER1Ls8xEdfdGVOUwipmPQ5BfCQ6r2.7fpQ1tVpOG.Y-?v=2,22628213,Buy Fendi Woven Show Leather Slingback Pumps at SaksFifthAvenue.,1390.00,USD,https://www.saksfifthavenue.com/product/fendi-woven-show-leather-slingback-pumps-22628213.html,37,356.65000000000,1,4,515,0.027027,0.108108
Playa Oversize Linen Cover-Up Shirt,Nordstrom,https://product-images-cdn.liketoknow.it/em1OmIpbkjPrfBYUGygTCl_yvpNX2.S8IjKsaGPjj7gKQXKXJvhjRvjyZygJ5fbcxHYLzg85bi1U1kgwPr.3KhBVtj4gkY2m1doJFOiS5bqp14tTgyD_TU.cSL_b_CH4rKtafqCSPj..qObzTb1dKbdq0FLu4YESON9AI9GCJU2g?v=2,,Free shipping and returns on Vitamin A® Playa Oversize Linen Cover-Up Shirt at Nordstrom.com. <p>This oversized cover-up shirt woven from lightweight linen is a must-pack companion for your next sunny getaway.</p>,155.00,USD,https://www.nordstrom.com/s/vitamin-a-playa-oversize-linen-cover-up-shirt/7625333?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=100,154,339.82900000000,14,58,38318,0.090909,0.376623
L'AVANT Collective Hand Care 2-Piece Box Set | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/kRfDI7GTL8D2oyQIA17Y0reB5p9JM8T.wBaSrU1y6fb.dmxVf3ycpla.ecP5Ho0rpbovEIHAUtUwdJ7W0kcUj_899x6rzKgX4_4fRyUpnGbtUOjbXiDbpIkRVztRRlPjLVBrkCbEsafAz4RMMTrjW488L8VQOrGgLysppgiGBDWx?v=2,,"Free shipping and returns on L'AVANT Collective Hand Care 2-Piece Box Set at Nordstrom.com. <p><strong>What it is:</strong> An indulgent hand-care set with elegant, refillable glass bottles of hand soap and hand lotion to leave skin soft and smooth.</p><p><strong>Set includes:</strong></p><p>- High-Performing Hand Soap (16 oz.): a gentle, plant-based hand wash that transforms into a luxuriant lather, leaving skin clean, soft and lightly scented</p><p>- Hand Lotion (10 oz.): a luxurious hand lotion formulated with high-quality, plant-based ingredients to leave skin feeling silky, soft and smooth</p><p><strong>Fragrance story:</strong> Delicate notes of ylang-ylang and bamboo mingle with pure essential oils of soothing lavender and geranium, as basil and lemon oils invigorate the senses.<...",44.99,USD,https://www.nordstrom.com/s/hand-care-2-piece-box-set/8322260?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=960,97,298.85100000000,10,34,24633,0.103092,0.350515
Lexi Mid Rise Bowed Straight Leg Jeans,Nordstrom,https://product-images-cdn.liketoknow.it/h07VlQJFvbz6XXTfzmbBfmUrGA.vqks9mDw9CtDdTGgoIX122_r3pTdKu7PvtLisLgI5uhgTKAXXtPd6Fa1qZz70z6ij287NJJZZnQ39MoN8EsyjRf1N1dXepGOqs94FFXnaTEAR3Qwe90PXi15cI703GJ44YNxj_gj3?v=2,,"Free shipping and returns on Pistola Lexi Mid Rise Bowed Straight Leg Jeans at Nordstrom.com. <p>Refresh your casual look with relaxed-fit, nonstretch jeans that curve out slightly at the knees to create a modern silhouette.</p>",168.00,USD,https://www.nordstrom.com/s/pistola-lexi-mid-rise-bowed-straight-leg-jeans/8196983?color=BLUSH&size=28&utm_content=pmax_womanapparel_asset_group&utm_term=pmax_womanapparel_listing_group&utm_channel=low_nd_shopping_pmax&adpos=&creative=&device=c&matchtype=&network=x&acctid=21700000001689570&dskeywordid=&lid=58700008804472611&dsproductgroupid=&product_id=A4953000&merchid=1243147&prodctry=US&prodlang=en&channel=online&storeid=&locationid=1027726&targetid=&campaignid=21864773245&adgroupid=&gclsrc=aw.ds&gad_source=1&gad_campaignid=21854357736&gbraid=0AAAAAD8eAEkvNZirn5meXeKTLcWSSOqmD&gclid=CjwKCAjwiezABhBZEiwAEbTPGMdQOT7rFDsbQARKCDb8PSkw65dWdn7iW1I-BdIYYu5lyHjDX35echoCDjIQAvD_BwE,250,293.55200000000,29,109,62951,0.116000,0.436000
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/FgjOvb8JYNJ.UdHx_PuUh8Ha4mksA8Xj6J_GqvGhcU9dHhZ915Bjqv_qNr5h5Ta_rdeBjTVHJSZ0MXvsUSA8il7Ysgdi7O7n2gXmE8G3uvlgaeUmZnHaOCR8XK4-?v=2,F1105-945-200,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin. Stitched welt and stacked heel of patinated leather.",1680.00,USD,https://khaite.com/collections/new/products/clive-boot-35-in-black,3,235.20000000000,1,1,183,0.333333,0.333333
