Date,Brand,Type,Publisher,Product,Direct to retailer link,Status,Commission,Payment
7/31/25,"Cettire Global","Sale commission","Tiffany Wendel","Proenza Schouler Arcadia Sneakers","https://rstyle.me/+YyVPhrvHYL7Kew3irDgTdw","Open","$46.46",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$9.80",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$9.10",""
7/31/25,"Nike (US)","Sale commission","Tiffany Wendel","Nike LD-1000 SE \"Denim\"Women's Shoes","https://rstyle.me/+V_SaYHQDJkU7KEj16nuwyg","Open","$8.05",""
7/31/25,"Anthropologie (US)","Sale commission","Tiffany Wendel","Reebok Classic Legacy AZ Sneakers","https://rstyle.me/+iDomvgq8gsH7wRm1nZvW4w","Open","$6.59",""
7/31/25,"Free People (Global - UK&FR Excluded)","Sale commission","Tiffany Wendel","We The Free Ashland Harness Boots","https://rstyle.me/+p37PRbqGjI-Hd7bjLNmT-Q","Open","$7.14",""
7/31/25,"Free People (Global - UK&FR Excluded)","Sale commission","Tiffany Wendel","We The Free Ashland Harness Boots","https://rstyle.me/+p37PRbqGjI-Hd7bjLNmT-Q","Open","$7.14",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Darby Zip Up","","Open","$14.28",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$206.50",""
7/31/25,"Nike (US)","Sale commission","Tiffany Wendel","Nike LD-1000 SE \"Denim\"Women's Shoes","https://rstyle.me/+V_SaYHQDJkU7KEj16nuwyg","Open","$8.05",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Carmasa Crystal Embellished Sleeveless Top","https://rstyle.me/+LLtD2C3eItRU3uId6OILDA","Open","$1.05",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Carmasa Crystal Embellished Sleeveless Top","https://rstyle.me/+LLtD2C3eItRU3uId6OILDA","Open","$1.05",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Adler Pleated Virgin Wool Bermuda Shorts","https://rstyle.me/+_MIMqTx5u9BbNQO8o1rawg","Open","$10.43",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Sage Dome Studs Ballet Flats","","Open","$12.43",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Samantha Heeled Sandals","","Open","$15.79",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Samantha Heeled Sandals","","Open","$12.52",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Samantha Heeled Sandals","","Open","$6.27",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$206.50",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$16.45",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Le City Croc Embossed Leather Satchel","https://rstyle.me/+H4nNgYuQvwVrrH7oBxJ4cA","Open","$1.68",""
7/31/25,"Nordstrom","Sale commission","Tiffany Wendel","Le City Croc Embossed Leather Satchel","https://rstyle.me/+H4nNgYuQvwVrrH7oBxJ4cA","Open","$2.73",""
7/31/25,"Shopbop","Sale commission","Tiffany Wendel","Sage Dome Studs Ballet Flats","","Open","$12.43",""
7/31/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$6.37",""
7/30/25,"Mother Denim","Sale commission","Tiffany Wendel","SNACKS! The Chomp Heel Chew - Chew Toy","https://rstyle.me/+vIKIGiZcT1q-2x75N0ArzA","Open","$34.72",""
7/30/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$2.03",""
7/30/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$206.50",""
7/30/25,"Nordstrom","Sale commission","Tiffany Wendel","Medium Le City Suede Satchel","https://rstyle.me/+nvf0ERk8wegBPR4s0ULVFA","Open","$9.94",""
7/30/25,"Free People (Global - UK&FR Excluded)","Sale commission","Tiffany Wendel","We The Free Ashland Harness Boots","https://rstyle.me/+p37PRbqGjI-Hd7bjLNmT-Q","Open","$52.29",""
7/30/25,"Nike (US)","Sale commission","Tiffany Wendel","Nike LD-1000 SE \"Denim\"Women's Shoes","https://rstyle.me/+V_SaYHQDJkU7KEj16nuwyg","Open","$8.05",""
7/30/25,"Nike (US)","Sale commission","Tiffany Wendel","Nike LD-1000 SE \"Denim\"Women's Shoes","https://rstyle.me/+V_SaYHQDJkU7KEj16nuwyg","Open","$8.05",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$41.72",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$24.92",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$38.92",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$45.92",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$37.52",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$37.52",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$52.92",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$36.12",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$19.32",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$38.92",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$36.12",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$55.72",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$41.72",""
7/30/25,"Veronica Beard","Sale commission","Tiffany Wendel","Jerrel Merino Wool Tank Top","https://rstyle.me/+0D0n0NpGOemxkK17FLM_mw","Open","$13.72",""
7/30/25,"Bloomingdale's (US)","Sale commission","Tiffany Wendel","Ramy Brook Helena Flare Jeans in Light Wash  | Bloomingdale's Women","https://rstyle.me/+UAyc_EDvJ0JtKNMtL0Ke3A","Open","$19.25",""
7/30/25,"Shopbop","Sale commission","Tiffany Wendel","Sage Dome Studs Ballet Flats","","Open","$12.43",""
7/30/25,"Mother Denim","Sale commission","Tiffany Wendel","SNACKS! The Chomp Heel Chew - Chew Toy","https://rstyle.me/+vIKIGiZcT1q-2x75N0ArzA","Open","$34.72",""
7/30/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$0.35",""
7/30/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$2.24",""
7/30/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$3.23",""
7/29/25,"Veronica Beard","Sale commission","Tiffany Wendel","Kearney Polo Tee With Contrast Piping","https://rstyle.me/+mxLAKxkGscRE2-HgpZpEUw","Open","$17.22",""
7/29/25,"Veronica Beard","Sale commission","Tiffany Wendel","Kearney Polo Tee With Contrast Piping","https://rstyle.me/+mxLAKxkGscRE2-HgpZpEUw","Open","$41.72",""
7/29/25,"Veronica Beard","Sale commission","Tiffany Wendel","Kearney Polo Tee With Contrast Piping","https://rstyle.me/+mxLAKxkGscRE2-HgpZpEUw","Open","$52.92",""
7/29/25,"Veronica Beard","Sale commission","Tiffany Wendel","Kearney Polo Tee With Contrast Piping","https://rstyle.me/+mxLAKxkGscRE2-HgpZpEUw","Open","$55.72",""
7/29/25,"Shopbop","Sale commission","Tiffany Wendel","Bars W Sneakers","","Open","$3.19",""
7/29/25,"Shopbop","Sale commission","Tiffany Wendel","Bars W Sneakers","","Open","$3.19",""
7/29/25,"Etsy (US)","Sale commission","Tiffany Wendel","Large Hole Czech Glass Euro Beads, Rainbow Beads, 14x7mm, Beaded Jewelry Making, DIY Crafts, Foca...","https://rstyle.me/+Bk-ZlmcCmqFp3Y5lbfZZdA","Open","$1.88",""
7/29/25,"NEAT Method","Sale commission","Tiffany Wendel","Everyday Hangers","https://rstyle.me/+yTAvo9Hq460sMsb-2WNEhg","Open","$16.80",""
7/29/25,"Nordstrom","Sale commission","Tiffany Wendel","Nordstrom Crewneck Cashmere Sweater | Nordstrom","https://rstyle.me/+VVDdZ6DYofS3Lrjg5Ku1GQ","Open","$15.26",""
7/29/25,"Amazon (US)","Sale commission","Tiffany Wendel","","","Open","$4.37",""
7/29/25,"Amazon (US)","Sale return","Tiffany Wendel","","","Open","-$2.80",""
7/28/25,"Mango (US/MX/AU)","Sale commission","Tiffany Wendel","Long floral jumpsuit with puffed hem - Women | MANGO USA","https://rstyle.me/+kcwGLLx5AVKU-b-WcoQoDQ","Open","$5.25",""
7/28/25,"Etsy (US)","Sale commission","Tiffany Wendel","Large Hole Czech Glass Euro Beads, Rainbow Beads, 14x7mm, Beaded Jewelry Making, DIY Crafts, Foca...","https://rstyle.me/+vwm_HB2evqrnlXh8E2S0aA","Open","$0.71",""
7/28/25,"Nordstrom","Sale commission","Tiffany Wendel","Treasure & Bond Tie Back Puff Sleeve Linen Blend Top | Nordstrom","https://rstyle.me/+IncwbRq1skPMOo2GLywa_w","Open","$2.03",""
