product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
,Amazon (US),,,,,USD,,0,3202.40200000000,559,482,1464021,0.000000,0.000000
Zella Road Trip Crinkle Nylon Shorts | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/6_drNZ7V2tIfdMcXk9yVNdPZqR4zSUUDMyccPFLAFeMB4WtSyRtTxzGcV8RkkBsTUkBJGyHMjO_edvkMdBDPt1dbkH02fDnvdPepinBoAS0zsrtkf5KjhffF8nt__gWtS0V7eccECaLJh3QxfjSiQ7tffoKnAaaVvx.Lzf_8urMG?v=2,,Free shipping and returns on Zella Road Trip Crinkle Nylon Shorts at Nordstrom.com. <p>Spend your days off exploring the outdoors in these athletic shorts crafted from durable nylon with a longer inseam for enhanced comfort and coverage.</p>,49.00,USD,https://www.nordstrom.com/s/road-trip-crinkle-nylon-shorts/8122636?origin=coordinating-8122636-0-1-PDP_2.SEEDED_SUB_1-recbot-vertex_recs_fbt_v2&recs_placement=PDP_2.SEEDED_SUB-1&recs_strategy=vertex_recs_fbt_v2&recs_source=recbot&recs_page_type=product&recs_seed=8122629&color=BLACK,1001,665.96600000000,91,242,347699,0.090909,0.241758
Jerrel Merino Wool Tank Top,Veronica Beard,https://product-images-cdn.liketoknow.it/MYt7saf5vcCelUaJOQwsKop1AL7iNjJZip2BzqmV8_S5tlgbY6lOAKvizFjBMN8DlVNiBsgMj64iiQj8Qv7pzb3.sho7UKFBnSw.f4UNB0RLNI.Jz_6fssCKC56wj30inrj8hxYNYaB_aMIR_paXFw4GruIriA--?v=2,197787233209,Shop the Jerrel Merino Wool Tank Top in Navy at Veronica Beard. Explore this ribbed tank top style & enjoy free shipping on orders $100+.,258.00,USD,https://veronicabeard.com/products/jerrel-merino-wool-tank-top-navy,5,521.08000000000,1,14,504,0.200000,2.800000
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/2ycN9pP.3z3639Mh3RhY0HjnR0AttxVlJV_k6AFJvCyHQa2ggWHbiPRHvgIrjWnhceafyqYdeyslTVPBDKSkORhdq4tkVxo3XZOoa2nBtAs7gkOjwUSU9um.boLJo52k4Ca4dA--?v=2,F1105-944-482,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin brushed to a rich patina. Stitched welt and stacked leather heel.",1680.00,USD,https://khaite.com/products/clive-boot-35-in-vintage-black,30,470.40000000000,1,2,347,0.033333,0.066666
MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/YUv4ufocVNkkTaUk6.o.6g7GA2nC9PqyBDPfEz_uOhz0qLHwN_RJDmTrLENlqkfHWHIgbPhUdAylZbOJMVO7Tjlu..ivDYYS.zvzHSYNRqeRnW6C85da2xl60iQ0rkvD8E4AbgmooIewnAW16dCgR6s8sZCllizqBVGvaw--?v=2,,"Free shipping and returns on MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans at Nordstrom.com. <p>Cuffed wide legs add to the vintage-chic vibe of these slouchy, low-slung jeans crafted from faded nonstretch denim in Los Angeles.</p>",189.99,USD,https://www.nordstrom.com/s/the-dodger-skimp-high-waist-cuffed-hem-wide-leg-jeans-leap-of-faith/8258875?origin=coordinating-8258875-0-3-PDP_1-recbot-vertex_recs_ymal_atwl_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_atwl_v2&recs_source=recbot&recs_page_type=product&recs_seed=8258877&color=LEAP%20OF%20FAITH,197,441.04200000000,19,121,76208,0.096446,0.614213
Cotton Cropped Sweater: Women's Designer Sweaters | Tory Sport,Tory Burch (US),https://product-images-cdn.liketoknow.it/xZJagq8mDwY2fE91fKpXpImXs_u626vY97QhhI1rqF3coAB2FQWXO5kdumk38CJH9f_poU1ioR9aMrmGgmDZ21DdSJoDj_Ivlu6hTSco7E0yJZTo2tqH4WJvqUvN5t7n6ebv54i7isUgyRuvW1HtBdGesaHbOFeOeRxBaXCKOBOo6hQ.CpfArhgNSRAmffaE?v=2,,"Shop Tory Sport women's designer Clothing including the Cotton Cropped Sweater. Get free shipping & returns on designer shoes, handbags, clothing & more at ToryBurch.com.",328.00,USD,https://www.toryburch.com/en-us/clothing/sweaters/cotton-cropped-sweater/166703.html?color=007&size=S,6,362.36200000000,1,9,659,0.166666,1.500000
ALAÏA - Black Biker Ballerina Flats,SSENSE,https://product-images-cdn.liketoknow.it/vzzQ0B0CBDnMFRe7H_EIz7scGx0ev9l2e21KkCyMPbvloTwNA_NqnvQr.wPeMRi27cwOpNxnwbfyFUWemB2aJpwPGcrngA2Y98CPc7VyeDLtEanFfs7OxG8hysNEOV7O6TXhhd9GO2msD7ptiFfh8e1O6kyE6WPXKny03N_O69JzooEC5O1skvHMsuqkWONmcQ--?v=2,251483F118012,"Buffed calfskin ballerina flats in black.

· Square toe
· Eyelets and O-rings at pin-buckle ankle strap
· Leather sole with rubber injection

Supplier color: Black",1600.00,USD,https://www.ssense.com/en-us/women/product/alaia/black-biker-ballerina-flats/16915801?gad_source=1&gad_campaignid=21719062517&gbraid=0AAAAAD9ouUvRXhG5kNR-jAIBYDbMljIm2&gclid=Cj0KCQjw18bEBhCBARIsAKuAFEac8mrHvFqPDFaxjjUZWlWtjzWoMyJHjlBSylFcQ3cukvgbI24e05saAplMEALw_wcB,8,358.40000000000,1,2,289,0.125000,0.250000
Woven Show Leather Slingback Pumps,Saks Fifth Avenue,https://product-images-cdn.liketoknow.it/wVztjkQ_RwIxA0kYldvqT9gGJgKExkMYGLrYFUJcWWWgSXus9awar0UKY69jiI7QY5Xx6dXZzlRvmgbX3342H9Q5i_Z8cRfHyzM16vaFtdpZE9kD1ENddqOSfXrrNiI1I12cJ3gGNu4rzYouIG2uorrGPbGpYUsFaRfhTER1Ls8xEdfdGVOUwipmPQ5BfCQ6r2.7fpQ1tVpOG.Y-?v=2,22628213,Buy Fendi Woven Show Leather Slingback Pumps at SaksFifthAvenue.,1390.00,USD,https://www.saksfifthavenue.com/product/fendi-woven-show-leather-slingback-pumps-22628213.html,121,356.65000000000,1,4,2213,0.008264,0.033057
Playa Oversize Linen Cover-Up Shirt,Nordstrom,https://product-images-cdn.liketoknow.it/em1OmIpbkjPrfBYUGygTCl_yvpNX2.S8IjKsaGPjj7gKQXKXJvhjRvjyZygJ5fbcxHYLzg85bi1U1kgwPr.3KhBVtj4gkY2m1doJFOiS5bqp14tTgyD_TU.cSL_b_CH4rKtafqCSPj..qObzTb1dKbdq0FLu4YESON9AI9GCJU2g?v=2,,Free shipping and returns on Vitamin A® Playa Oversize Linen Cover-Up Shirt at Nordstrom.com. <p>This oversized cover-up shirt woven from lightweight linen is a must-pack companion for your next sunny getaway.</p>,155.00,USD,https://www.nordstrom.com/s/vitamin-a-playa-oversize-linen-cover-up-shirt/7625333?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=100,154,339.82900000000,14,58,66682,0.090909,0.376623
Miramar Terry Shea Pant,rag & bone,https://product-images-cdn.liketoknow.it/33_AOjaYUk673lj4HZLurXuJOK88uNzvVLf4fscwtBTVUxcrq9dGhQU.EV96Ohv54hyUixpqegcHmSBpe7Bs1V69NSzVa9hASUQRw0zLQ4TwboTI3zwGXSRImyFsBBwLQQnFd8ec.lkxLWmYaPoNqBDA9wOwIjcwYuGB59XeK7e21A--?v=2,WCW24H70028202_981,Buy Miramar Terry Shea Pant at rag & bone.,238.00,USD,https://www.rag-bone.com/mens-womens-clothing-accessories/miramar-terry-shea-pant-WCW24H70028202.html?dwvar_WCW24H70028202_color=981&quantity=1&ref=womens-miramar&list=Category%20-%20womens-miramar,115,317.26800000000,3,7,1803,0.026086,0.060869
