advertiser_name,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate
Nordstrom,4040,3639.65000000000,152,744,0.037623,0.184158
Veronica Beard,83,729.96000000000,3,19,0.036144,0.228915
Khaite,657,705.60000000000,2,3,0.003044,0.004566
Shopbop,1151,631.35100000000,11,31,0.009556,0.026933
Amazon (US),1654,467.74000000000,89,73,0.053808,0.044135
Bergdorf Goodman,119,229.32000000000,1,1,0.008403,0.008403
Zara US,544,223.56000000000,20,20,0.036764,0.036764
Revolve Clothing (Global),82,136.39500000000,3,5,0.036585,0.060975
NET-A-PORTER (US),708,115.50000000000,4,4,0.005649,0.005649
Favorite Daughter,124,115.08000000000,4,4,0.032258,0.032258
Sezane Paris - US,355,109.89300000000,5,5,0.014084,0.014084
Mother Denim,18,104.16000000000,3,3,0.166666,0.166666
FWRD ,296,94.08000000000,2,2,0.006756,0.006756
Left on Friday,188,80.78000000000,4,4,0.021276,0.021276
goop,26,78.12000000000,1,1,0.038461,0.038461
Free People (Global - UK&FR Excluded),424,73.92000000000,5,5,0.011792,0.011792
ME+EM US,59,63.80500000000,2,3,0.033898,0.050847
Reformation (Global),28,63.42000000000,2,4,0.071428,0.142857
POSSE (US),65,58.80000000000,1,1,0.015384,0.015384
Pottery Barn Teen,66,56.84000000000,3,8,0.045454,0.121212
Anthropologie (US),128,54.43200000000,5,8,0.039062,0.062500
Varley US,11,45.78000000000,2,2,0.181818,0.181818
J. Crew US,234,44.96380000000,5,5,0.021367,0.021367
adidas (US),140,42.63000000000,6,6,0.042857,0.042857
Mango (US/MX/AU),239,34.17820000000,7,11,0.029288,0.046025
NEAT Method,53,33.88000000000,3,3,0.056603,0.056603
NET-A-PORTER (UK & EU),71,26.00413094100,1,1,0.014084,0.014084
eBay US,159,25.75090000000,5,5,0.031446,0.031446
Etsy (US),343,24.78000000000,6,6,0.017492,0.017492
Ancient Greek Sandals,4,23.91208209300,1,1,0.250000,0.250000
Rugs Direct,72,23.70200000000,1,1,0.013888,0.013888
Nordstrom Rack,1,22.74300000000,1,5,1.000000,5.000000
Jones Road Beauty,463,22.54000000000,3,8,0.006479,0.017278
Target,130,17.39500000000,4,5,0.030769,0.038461
Fleur du Mal,13,16.38000000000,1,2,0.076923,0.153846
Nike (US),124,16.10000000000,2,2,0.016129,0.016129
Lulus,2,16.06500000000,1,2,0.500000,1.000000
DOEN,38,14.63000000000,1,1,0.026315,0.026315
Buckle,102,14.16240000000,3,3,0.029411,0.029411
COS (EU),219,13.72499746900,4,4,0.018264,0.018264
Havaianas,5,12.60000000000,1,3,0.200000,0.600000
Aritzia,27,12.18000000000,2,3,0.074074,0.111111
Macy's,9,10.92000000000,1,2,0.111111,0.222222
Clare V.,11,10.50000000000,1,1,0.090909,0.090909
Commando®,6,10.36000000000,1,1,0.166666,0.166666
SSENSE,15,9.45000000000,1,1,0.066666,0.066666
Poshmark,262,9.38000000000,2,2,0.007633,0.007633
ThirdLove,20,9.13500000000,1,2,0.050000,0.100000
Farfetch Global,146,8.82000000000,1,1,0.006849,0.006849
Urban Outfitters (US and RoW),113,6.21600000000,1,2,0.008849,0.017699
Williams-Sonoma,18,6.12500000000,1,1,0.055555,0.055555
Spanx,8,5.46000000000,1,1,0.125000,0.125000
SKIMS (US),74,4.87200000000,2,5,0.027027,0.067567
Lululemon (US),5,3.04500000000,1,1,0.200000,0.200000
Dior Beauty (US),35,2.94000000000,1,1,0.028571,0.028571
CALPAK,15,0.00,0,0,0.000000,0.000000
OAK + FORT,2,0.00,0,0,0.000000,0.000000
LoveShackFancy,1,0.00,0,0,0.000000,0.000000
