product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
Jerrel Merino Wool Tank Top,Veronica Beard,https://product-images-cdn.liketoknow.it/MYt7saf5vcCelUaJOQwsKop1AL7iNjJZip2BzqmV8_S5tlgbY6lOAKvizFjBMN8DlVNiBsgMj64iiQj8Qv7pzb3.sho7UKFBnSw.f4UNB0RLNI.Jz_6fssCKC56wj30inrj8hxYNYaB_aMIR_paXFw4GruIriA--?v=2,197787233209,Shop the Jerrel Merino Wool Tank Top in Navy at Veronica Beard. Explore this ribbed tank top style & enjoy free shipping on orders $100+.,258.00,USD,https://veronicabeard.com/products/jerrel-merino-wool-tank-top-navy,5,521.08000000000,1,14,67,0.200000,2.800000
MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/YUv4ufocVNkkTaUk6.o.6g7GA2nC9PqyBDPfEz_uOhz0qLHwN_RJDmTrLENlqkfHWHIgbPhUdAylZbOJMVO7Tjlu..ivDYYS.zvzHSYNRqeRnW6C85da2xl60iQ0rkvD8E4AbgmooIewnAW16dCgR6s8sZCllizqBVGvaw--?v=2,,"Free shipping and returns on MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans at Nordstrom.com. <p>Cuffed wide legs add to the vintage-chic vibe of these slouchy, low-slung jeans crafted from faded nonstretch denim in Los Angeles.</p>",189.99,USD,https://www.nordstrom.com/s/the-dodger-skimp-high-waist-cuffed-hem-wide-leg-jeans-leap-of-faith/8258875?origin=coordinating-8258875-0-3-PDP_1-recbot-vertex_recs_ymal_atwl_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_atwl_v2&recs_source=recbot&recs_page_type=product&recs_seed=8258877&color=LEAP%20OF%20FAITH,196,506.77200000000,19,121,33008,0.096938,0.617346
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/2ycN9pP.3z3639Mh3RhY0HjnR0AttxVlJV_k6AFJvCyHQa2ggWHbiPRHvgIrjWnhceafyqYdeyslTVPBDKSkORhdq4tkVxo3XZOoa2nBtAs7gkOjwUSU9um.boLJo52k4Ca4dA--?v=2,F1105-944-482,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin brushed to a rich patina. Stitched welt and stacked leather heel.",1680.00,USD,https://khaite.com/products/clive-boot-35-in-vintage-black,28,470.40000000000,1,2,159,0.035714,0.071428
,Amazon (US),,,,,USD,,0,467.74000000000,89,73,31030,0.000000,0.000000
Medium Le City Suede Satchel,Nordstrom,https://product-images-cdn.liketoknow.it/aKKNXAfGVCZucVyx9tLznBow.90RsBpK5zGOF.bAWlTIzrVS40QPg9HdlB0LhBNADBUb8NTd5HosEq1utnlu.qJ5byLDgeeZWoyuy4TN7xwKKSNYVCbQxSREH0W0f.0KBuDPX1zwqFYl99YksT8q.FPucD.ZFI0zVOgAZwErvArd5jij88jtDDIpRaE-?v=2,,Free shipping and returns on Balenciaga Medium Le City Suede Satchel at Nordstrom.com. <p>Balenciaga relaunches its iconic Y2K bag with this updated style crafted from velvety calfskin suede and detailed with signature hardware.</p>,2950.00,USD,https://www.nordstrom.com/s/medium-le-city-suede-satchel/8348691?origin=coordinating-8348691-0-1-PDP_1-recbot-vertex_recs_ymal_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_v2&recs_source=recbot&recs_page_type=product&recs_seed=8348690&color=3503%20KHAKI#fs,137,441.42000000000,2,3,4126,0.014598,0.021897
Mansur Gavriel Glove Flat (Women) | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/.t.6Q3GDeLfmmaCC9yXP.E2t56rjPzeGC6_v83KLjSFr93mx4V2wXl6xQihZGpc1HJNHXGyCKx8v7SmoIr_h_v0ewDqAjbuhzxoJ01Yclw3e.5dD6mYMA9dADzIe45depF5K4yp9i.GEgJ4y0t6JiZ7fXjZVJmTtytqZneDDLcruoN4tN61cGKhAwys-?v=2,,"Free shipping and returns on Mansur Gavriel Glove Flat at Nordstrom.com. <p>A split toe adds subtle sophistication to this minimalist, Italian-made flat crafted from soft lambskin leather.</p>",294.99,USD,https://www.nordstrom.com/s/glove-flat-women/7454264?origin=category-personalizedsort&breadcrumb=Home%2FAnniversary%20Sale%2FAll%20Anniversary%20Sale&color=504,194,319.60600000000,12,79,18567,0.061855,0.407216
L'AVANT Collective Hand Care 2-Piece Box Set | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/kRfDI7GTL8D2oyQIA17Y0reB5p9JM8T.wBaSrU1y6fb.dmxVf3ycpla.ecP5Ho0rpbovEIHAUtUwdJ7W0kcUj_899x6rzKgX4_4fRyUpnGbtUOjbXiDbpIkRVztRRlPjLVBrkCbEsafAz4RMMTrjW488L8VQOrGgLysppgiGBDWx?v=2,,"Free shipping and returns on L'AVANT Collective Hand Care 2-Piece Box Set at Nordstrom.com. <p><strong>What it is:</strong> An indulgent hand-care set with elegant, refillable glass bottles of hand soap and hand lotion to leave skin soft and smooth.</p><p><strong>Set includes:</strong></p><p>- High-Performing Hand Soap (16 oz.): a gentle, plant-based hand wash that transforms into a luxuriant lather, leaving skin clean, soft and lightly scented</p><p>- Hand Lotion (10 oz.): a luxurious hand lotion formulated with high-quality, plant-based ingredients to leave skin feeling silky, soft and smooth</p><p><strong>Fragrance story:</strong> Delicate notes of ylang-ylang and bamboo mingle with pure essential oils of soothing lavender and geranium, as basil and lemon oils invigorate the senses.<...",44.99,USD,https://www.nordstrom.com/s/hand-care-2-piece-box-set/8322260?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=960,94,307.46100000000,10,34,18567,0.106382,0.361702
Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop,Shopbop,https://product-images-cdn.liketoknow.it/Ec5KgX5BZ_qt7tKb0pJb7h2wJ9_SGZhyIPz42n_FPqjB5j2zxctfDfPuUcObvXWK87YisizpMTbzcJgVpBVo6kUhkZUHh3_A1NaQXq26jpLv.mChVFkoSZm1zpBbMtnLyiT1p16ILhb548Hf3c6ND7EmCGuK5PtACXaSZ7UzoqAT4eHz1AjVhAgHHs6qJPtpHnH.HLmH1jcfZbYv2q1VQW3aV0k-?v=2,,Victoria Beckham Sleeveless Draped Silk Midi Dress | Shopbop,1850.00,USD,https://www.shopbop.com/sleeveless-draped-midi-dress-victoria/vp/v=1/1586319113.htm?os=false&breadcrumb=Shop+Women%27s%3EDesigner+Index%3EVictoria+Beckham&searchClick=true&searchResultClicked=Sleeveless+Draped+Silk+Midi+Dress&folderID=61830&colorSin=2008733862&fm=browse-page-web&ref_=SB_PLP_PDP_W_BRAND_VBEDB_61830_DB_23,3,266.70000000000,1,4,736,0.333333,1.333333
AllSaints Orten Suede Bomber Jacket | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/jqF4baqWIyR4F3ZVFZLERY7_iCpvsuTPD1TkXQC09WdutoAOmbJktmvGtLwPzMk6g8DBhlbKeTKdXEPnsfMUMfpl1xXdlt8Tok4Vcz3_UDb_VDtNxnusvxScE8FGYm2Fq5W2E_h1SMq8GLLO.xE4_bgqKZx8T9AkbPnr7AjML771?v=2,,"Free shipping and returns on AllSaints Orten Suede Bomber Jacket at Nordstrom.com. <p>With its soft goatskin suede, roomy cut and cropped length, this bomber jacket hits the sweet spot between laid-back attitude and polished design that instantly upgrades any look.</p>",349.99,USD,https://www.nordstrom.com/s/orten-suede-bomber-jacket/8259798?origin=coordinating-8259798-0-1-PDP_1-recbot-vertex_recs_ymal_atwl_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_atwl_v2&recs_source=recbot&recs_page_type=product&recs_seed=8132642&color=COGNAC%20BROWN,176,239.61000000000,12,69,22693,0.068181,0.392045
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/FgjOvb8JYNJ.UdHx_PuUh8Ha4mksA8Xj6J_GqvGhcU9dHhZ915Bjqv_qNr5h5Ta_rdeBjTVHJSZ0MXvsUSA8il7Ysgdi7O7n2gXmE8G3uvlgaeUmZnHaOCR8XK4-?v=2,F1105-945-200,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin. Stitched welt and stacked heel of patinated leather.",1680.00,USD,https://khaite.com/collections/new/products/clive-boot-35-in-black,3,235.20000000000,1,1,159,0.333333,0.333333
