advertiser_name,clicks,commissions,orders,items_sold,order_conversion_rate,items_sold_conversion_rate
Nordstrom,6052,5261.62700000000,341,1258,0.056345,0.207865
Shopbop,5341,2344.98600000000,112,258,0.020969,0.048305
Amazon (US),6286,1819.20200000000,281,245,0.044702,0.038975
Veronica Beard,415,747.88000000000,4,20,0.009638,0.048192
Khaite,681,705.60000000000,2,3,0.002936,0.004405
Zara US,2545,666.88800000000,87,87,0.034184,0.034184
Free People (Global - UK&FR Excluded),1545,481.42500000000,35,71,0.022653,0.045954
Saks Fifth Avenue,627,405.51000000000,2,9,0.003189,0.014354
Bergdorf Goodman,774,404.46000000000,2,3,0.002583,0.003875
Bloomingdale's (US),2929,391.85860000000,28,53,0.009559,0.018094
adidas (US),955,384.70600000000,42,57,0.043979,0.059685
Etsy (US),1904,273.41300000000,84,84,0.044117,0.044117
NET-A-PORTER (US),1450,256.65500000000,11,14,0.007586,0.009655
SKIMS (US),2012,249.11600000000,45,104,0.022365,0.051689
J. Crew US,1488,224.08680000000,39,82,0.026209,0.055107
Mango (US/MX/AU),1059,211.09620000000,21,29,0.019830,0.027384
Anthropologie (US),233,194.84640000000,13,32,0.055793,0.137339
ThirdLove,733,191.06500000000,17,31,0.023192,0.042291
ME+EM US,815,183.50500000000,7,10,0.008588,0.012269
THE GREAT.,58,175.35000000000,2,2,0.034482,0.034482
1stDibs,31,175.00000000000,1,2,0.032258,0.064516
Revolve Clothing (Global),281,168.42000000000,9,13,0.032028,0.046263
goop,324,163.69500000000,7,10,0.021604,0.030864
Mother Denim,514,161.92400000000,6,8,0.011673,0.015564
Nike (US),408,151.55000000000,13,15,0.031862,0.036764
Sezane Paris - US,519,140.67900000000,7,7,0.013487,0.013487
Favorite Daughter,187,115.08000000000,4,4,0.021390,0.021390
A.L.C,96,100.24000000000,1,1,0.010416,0.010416
Left on Friday,190,96.18000000000,5,5,0.026315,0.026315
Madewell,269,95.05510000000,7,16,0.026022,0.059479
Reformation (Global),311,94.71000000000,4,6,0.012861,0.019292
TROVATA,7,94.64000000000,1,1,0.142857,0.142857
FWRD ,318,94.08000000000,2,2,0.006289,0.006289
Varley US,87,89.27100000000,4,4,0.045977,0.045977
Tory Burch (US),136,88.72500000000,3,4,0.022058,0.029411
Poshmark,1808,72.31000000000,22,23,0.012168,0.012721
Miu Miu US,281,71.40748643800,1,1,0.003558,0.003558
FRYE,4,69.72000000000,1,1,0.250000,0.250000
IL MAKIAGE,250,67.36100000000,16,16,0.064000,0.064000
NEAT Method,121,67.27700000000,7,8,0.057851,0.066115
Milestones by Ashleigh Bergman,50,65.03000000000,1,1,0.020000,0.020000
DOEN,366,64.12000000000,5,5,0.013661,0.013661
POSSE (US),75,58.80000000000,1,1,0.013333,0.013333
Pottery Barn Teen,66,56.84000000000,3,8,0.045454,0.121212
Neiman Marcus,265,53.37150000000,1,2,0.003773,0.007547
Aritzia,105,50.40000000000,3,6,0.028571,0.057142
Eberjey,282,50.19000000000,4,6,0.014184,0.021276
Macy's,246,40.12190000000,12,13,0.048780,0.052845
Alexis,7,36.75000000000,1,1,0.142857,0.142857
Havaianas,114,35.78400000000,5,9,0.043859,0.078947
Steve Madden (US),41,33.81840000000,4,4,0.097560,0.097560
Target,265,32.16500000000,10,22,0.037735,0.083018
Brochu Walker,23,31.24800000000,1,1,0.043478,0.043478
Cosabella,601,31.23400000000,5,12,0.008319,0.019966
eBay US,974,30.25890000000,10,10,0.010266,0.010266
Fleur du Mal,102,26.67000000000,2,4,0.019607,0.039215
For Love & Lemons,37,26.18000000000,1,3,0.027027,0.081081
NET-A-PORTER (UK & EU),104,26.00413094100,1,1,0.009615,0.009615
Urban Outfitters (US and RoW),711,24.36000000000,3,4,0.004219,0.005625
Ancient Greek Sandals,24,23.91208209300,1,1,0.041666,0.041666
Rugs Direct,72,23.70200000000,1,1,0.013888,0.013888
Alo Yoga (US),438,23.43600000000,3,5,0.006849,0.011415
