product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
Harlow Rhinestone Straight Leg Jeans,Nordstrom,https://product-images-cdn.liketoknow.it/_iR4xorT58Zs2vMagwflHtL_J6B.UpN5SSAlyNk1Mm1k50rzzTdOoLYMxkmEVh9aiI65VYb1AdoRoYSodWAueM.53Toa2j0Uggd0E9z8f7.rKx50k7WKKl9m4fskZcnipG7F98dPxrRewvMHtMDeXcPyuExoWJpitHM_SyhAxfmiWfpw_QrfQPbrg9AHI4.wbQmnABqPVGdd?v=2,,"Free shipping and returns on rag & bone Harlow Rhinestone Straight Leg Jeans at Nordstrom.com. <p>Rhinestone embellishment channels glam rock on these faded, straight-leg jeans cut from low-stretch denim.</p>",295.00,USD,https://www.nordstrom.com/s/harlow-rhinestone-straight-leg-jeans-evjewel/7433412?breadcrumb=SellerInitiated,2425,1103.92723000000,113,205,285831,0.046597,0.084536
,Amazon (US),,,,,USD,,0,660.72300000000,118,109,67650,0.000000,0.000000
About J.Crew,J.Crew US,https://product-images-cdn.liketoknow.it/uPH.6AfRMGxWb7TrNL37xu9xq6j0Q4f9ixHCJitDFzwWBIjQyYf_QOpdi5M9xJgkCIoXtUqtNOH73.qx00q_gFJg.fFEiKkW37pfHAvmUsJC1qIPBR4Mnt0n1rGQtT131_DX?v=2,,Shop  for the Collection sequin slip skirt for women. Find the best selection of women womens-categories-clothing-skirts-midi available in-stores and on line.,198.00,USD,https://www.jcrew.com/p/womens/categories/clothing/skirts/midi/collection-sequin-slip-skirt/BW007?display=all&fit=Classic&color_name=silver&colorProductCode=BW007,953,533.85500000000,26,81,61926,0.027282,0.084994
Shrunken Mock Neck Cashmere Sweater,Nordstrom,https://product-images-cdn.liketoknow.it/dYv_miwFA0vQ0jDwcczL7pVr_Q_P6XwLfGUh0CGFnVYgIB5dvYOWY5BiLlNsWMMzhfVQ.lQSVJN1Hy_uDfq0VHjh29T.jKGC210bdM1UrS6gZgh9OnfrGU4WDpE2Q7uF31XNTA3IzmLsaOd2U7XEOB0UKsTHqyApwbfLCXGCTbK3Vhj811AtqSY8_iKVQEfSrqUlL0qktYi2?v=2,,"Free shipping and returns on Vince Shrunken Mock Neck Cashmere Sweater at Nordstrom.com. <p>Staple pieces you wear over and over are well served by luxe fibers, and this cropped sweater knit from pure cashmere is an endlessly wearable example.</p>",345.00,USD,https://www.nordstrom.com/s/vince-shrunken-mock-neck-cashmere-sweater/5606192?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=023,521,393.27435000000,26,49,81666,0.049904,0.094049
Miller Corduroy Dickey Jacket,Veronica Beard,https://product-images-cdn.liketoknow.it/cGsgrnC3R9ytGrZruZ0xkJRiI_LBZK_teDMi3ag9WOSJzjXxnXXTlXEXBAn2YDrFZezjj1pUHkZQj3kHsZDO9d7Ba_ydfsfMAoEVMoExBuJLlUyyPSk3wv8aKecm6I7U4nKa5c55Zh4qbHm2oWw-?v=2,190738867485,Discover the timeless charm of the Miller Khaki Corduroy Dickey Jacket. Shop Veronica Beard now and embrace the fusion of comfort and sophistication.,798.00,USD,https://veronicabeard.com/products/miller-corduroy-dickey-jacket?color=Khaki,67,355.11000000000,2,3,502,0.029850,0.044776
Levi 501 Vintage Highwaisted Blue Jeans All Washes All - Etsy,Etsy (US),https://product-images-cdn.liketoknow.it/tbzC5lefvyECDgZsl.eaGEU5D6E.f0nkTFSVSjn.boqNTpkKgVb4.QXvD.TSeedLbtyg8NTcYv5SpELWS0Ni7inPbBXMs77FOev8MPf0dciAI2cyOiGmnQrAPErsMQQW1EnK8CFat4AZJOhSGeFcYCA-?v=2,658479225,"This Womens Jeans item by skullznbunniez has 3979 favorites from Etsy shoppers. Ships from Indianapolis, IN. Listed on Dec 1, 2023",115.00,USD,https://www.etsy.com/listing/658479225/levi-501-vintage-highwaisted-blue-jeans?click_key=7c5e9dff2d01a65735f79194076de5ba8a0df0e0%3A658479225&click_sum=77ba82f9&external=1&rec_type=cs&ref=pla_similar_listing_top-6&frs=1,2244,322.24012127400,74,74,28288,0.032976,0.032976
The ReNew Long Liner,Everlane,https://product-images-cdn.liketoknow.it/HPN2taApngst3JKT2jFWkr4TLdGj0cqXrpBHxCP3d1B5U17UIXl9UtxnV5igPGQBy2zlGbuczBTaavvQgWSe4SwLven.2Vpt0Mcsgx30hayeS2ejP4UJ.fxogqD0Rvf0f29TAV4-?v=2,,"A modern take on a military-inspired liner. Made entirely from 100% recycled polyester, the ReNew Long Liner is lightweight, packable, and perfect for easy cold-weather layering.* Plus, it features a classic crew neckline, a zip front, handy side pockets, an easy below-the-knee length, and a quilted design. Wear it as a standalone jacket or layer it under a coat for extra warmth without the weight. 

*Some of the zippers and trim aren’t 100% recycled, but we’re working on it.

We’ve eliminated 90% of the virgin plastic from our supply chain. Learn about what we’ve done—and the challenges ahead—on our No New Plastic page.",198.00,USD,https://www.everlane.com/products/womens-renew-long-liner-black?utm_source=pla-google-pmax,1443,321.95800000000,32,44,19072,0.022176,0.030492
Moncler Badyf Hooded Puffer Jacket,Saks Fifth Avenue,https://product-images-cdn.liketoknow.it/gCk3IqLMsdmnX00weKfEZUYwGc7q5jXXWTpJl2uZA7MeHD3rzSCRARbSv1SxB2Q8LlPz4gpPUVOvCbILr6VYRMGipNBGQDB1WWw_aqPz6DVI74WN8g--?v=2,19390939,"From the Archivio DNA Collection. Topped with a faux fur-trimmed detachable hood, Moncler's Badyf puffer jacket showcases warming channel quilting. This sleek style features a stand collar and front zip pockets.<ul><li>Detachable hood</li><li>Stand collar</li><li>Long sleeves, elasticized snap cuffs</li><li>Front zip pockets</li><li>Front zip closure</li><li>100% nylon</li><li>Trim: 93% modacrylic/7% polyester</li><li>Fur type: faux</li><li>Dry clean</li><li>Imported</li></ul><br><b>SIZE &amp; FIT</b><ul><li>About 26"" from shoulder to hem</li><li>Bust, about 28""</li><li>Waist, about 26""</li><li>Model measurements: 5'10"" tall</li><li>Model is wearing a US size 4</li></ul><br>Please Note: Compared to the Brand's Size Guide, this style measures true to size.<br><br><b>ABOUT THE BRAND</b><b...",2050.00,USD,https://www.saksfifthavenue.com/product/moncler-badyf-hooded-puffer-jacket-0400019390936.html?email=&emailuser=c204c84b2884f69ad91f8dc809e3bd481283a20c09397931c5f567f10f65a094&site_refer=EML10076TRIGTRAC,1,306.60000000000,1,4,1866,1.000000,4.000000
Pure Silk Pillowcase,Nordstrom,https://product-images-cdn.liketoknow.it/VmZCN3EHEctz_G3exXWcpaPDZgv8NCDAgwpjJyz0Izv92BKCYxsroIh1jQEzzwxTJW96abypaioZnUuUZAMxo2BzHcBAdnLcz2UlQL20x7zJXv0uNaCAQayD7wP9upMtC4B_jzdj1LEAkRnz6kPSWqWP29.iInCzqXK_6SWOJdEF2Zk.Po.z6VoFESr2JuLFfg2dDxKngn_ZFgQH2BAX?v=2,,"Free shipping and returns on slip Pure Silk Pillowcase at Nordstrom.com. <p><strong>What it i</strong>s: An anti-aging, anti-sleep crease, anti-bedhead pillowcase that's like an eight-hour beauty treatment every night.</p><p><strong>What it does</strong>: Crafted from pure silk inside and out as recommended by dermatologists, plastic surgeons, hairdressers and beauty experts alike, this pillowcase elevates beauty sleep to a whole new level. We spend a third of our lives in bed, so what you sleep on is important. Silk fibers are significantly less absorbent than many other fibers, so they help keep your skin’s moisture and expensive face and hair products where they belong—on your face and hair, not your pillow. Ordinary pillowcases can cause hair to pull and tangle throughout the ni...",89.00,USD,https://www.nordstrom.com/s/slip-pure-silk-pillowcase/4186794?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=400,43,275.39400000000,3,10,9423,0.069767,0.232558
Wool Chore Jacket,Faherty,https://product-images-cdn.liketoknow.it/wH.Dw2xXWgGBCiTI7XZ67wsZMwbogWDF.knxGXfPriDy2Hx5lKuKTlVQ2EtrQj399Qky.a.qvMgP_kSrSvV5jZTh0zwDpZ9eWqZP7DTaTtS.PRw_m1cCpLJE4HsQ4TxCsTtflSJh_bbenna1rVmRWr.7V0_Wdby_Dxy8CWvfcXr46p4Od67N.tSb4pmGRwFML0dobtMETsi4Z9VoFrJq_UowVg--?v=2,MOF2355-CCL-XS,"This classic style, favored by French workers and craftsmen since the 1800s, gets a cold weather update in our cozy, just warm-enough Italian wool knit fabric. With straightforward, utilitarian detailing and a made-to-layer fit make this rugged but elevated jacket the perfect piece for transitional temps. Fit: Relaxed,",348.00,USD,https://fahertybrand.com/products/wool-chore-jacket-charcoal?glCountry=US&glCurrency=USD&gad_source=1&gclid=Cj0KCQiA3uGqBhDdARIsAFeJ5r1e_C2ctim4fsQ_A_g-3Rae0ALRK7afL98rTVDNe1vDgK-c3pwcdaUaApWpEALw_wcB&variant=40454371409989,125,249.48000000000,5,12,376,0.040000,0.096000
