product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
,Amazon (US),,,,,USD,,0,4845.51200000000,766,672,3183169,0.000000,0.000000
Zella Road Trip Crinkle Nylon Shorts | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/6_drNZ7V2tIfdMcXk9yVNdPZqR4zSUUDMyccPFLAFeMB4WtSyRtTxzGcV8RkkBsTUkBJGyHMjO_edvkMdBDPt1dbkH02fDnvdPepinBoAS0zsrtkf5KjhffF8nt__gWtS0V7eccECaLJh3QxfjSiQ7tffoKnAaaVvx.Lzf_8urMG?v=2,,Free shipping and returns on Zella Road Trip Crinkle Nylon Shorts at Nordstrom.com. <p>Spend your days off exploring the outdoors in these athletic shorts crafted from durable nylon with a longer inseam for enhanced comfort and coverage.</p>,49.00,USD,https://www.nordstrom.com/s/road-trip-crinkle-nylon-shorts/8122636?origin=coordinating-8122636-0-1-PDP_2.SEEDED_SUB_1-recbot-vertex_recs_fbt_v2&recs_placement=PDP_2.SEEDED_SUB-1&recs_strategy=vertex_recs_fbt_v2&recs_source=recbot&recs_page_type=product&recs_seed=8122629&color=BLACK,1007,658.61600000000,91,242,592176,0.090367,0.240317
Brunello CucinelliCashmere Vanis English Rib Turtleneck Cardigan with Zipper,Saks Fifth Avenue,https://product-images-cdn.liketoknow.it/lyWoLnNcMkfhqAekmzd7LZCXRUcOV9NVDRpjmXIv0Cb_1VrdtdVE0V2loyt5WlY8Gdt4PBbHn4QuREb6FmaEAYWuvlVw5BSBXFTdeAD_kfWAc0qo0SvS8_htZ5nt8NQLP8F7P7aKqlfh9zSUkHgEy0uxMZn3woPAKHGigyxbt0d6D74t1OjocVNZNDxraXQHaAuVvMaxxOwMAhiPow0yXkmOUA--?v=2,21735591,Buy Brunello Cucinelli Cashmere Vanis English Rib Turtleneck Cardigan with Zipper at SaksFifthAvenue.,4700.00,USD,https://www.saksfifthavenue.com/product/brunello-cucinelli-cashmere-vanis-english-rib-turtleneck-cardigan-with-zipper-21735591.html,1,658.00000000000,1,1,3787,1.000000,1.000000
Crispy Nylon Winslow Pant,Shopbop,https://product-images-cdn.liketoknow.it/5Vdk9p_4ZtgqnOlEXl9gYKN5KpTgpwFaX6F_bmVsvBhtUWeMoX2.djqrDG9S7IFPphsNIsSJyGs9hyEGsOwc.u1.PcbK4gQJd8iD4hpbzp1hH1jkzeHQ5miZMqGjLSI.7RhubqVvAySTCfJ577OW6ibqEHz2kqMUQzF.7qNHfI8B9hqIS8gpbET9uAXt7DsOwrv1YjPk_RwR3Y6knrny1wiI22w-?v=2,,Tibi Crispy Nylon Winslow Pant | Shopbop,445.00,USD,https://www.shopbop.com/product/vp/v=1/1502401024.htm?currencyCode=USD&extid=SE_Google_campaign%3DNB_Category_Clothing_PLA_WMN_Dom_US_EN_GGL_PLA_adgroup%3Dus-Clothing-Bottoms-Pants&gclid=Cj0KCQjwh5vFBhCyARIsAHBx2wx15bb1V_-2Y0EszekE7fBPqCbZoNsmGu5SJnLariPusNxZs799KZ4aAkS-EALw_wcB,384,541.19100000000,10,31,73690,0.026041,0.080729
Jerrel Merino Wool Tank Top,Veronica Beard,https://product-images-cdn.liketoknow.it/MYt7saf5vcCelUaJOQwsKop1AL7iNjJZip2BzqmV8_S5tlgbY6lOAKvizFjBMN8DlVNiBsgMj64iiQj8Qv7pzb3.sho7UKFBnSw.f4UNB0RLNI.Jz_6fssCKC56wj30inrj8hxYNYaB_aMIR_paXFw4GruIriA--?v=2,197787233209,Shop the Jerrel Merino Wool Tank Top in Navy at Veronica Beard. Explore this ribbed tank top style & enjoy free shipping on orders $100+.,258.00,USD,https://veronicabeard.com/products/jerrel-merino-wool-tank-top-navy,5,521.08000000000,1,14,640,0.200000,2.800000
Clive Boot,Khaite,https://product-images-cdn.liketoknow.it/2ycN9pP.3z3639Mh3RhY0HjnR0AttxVlJV_k6AFJvCyHQa2ggWHbiPRHvgIrjWnhceafyqYdeyslTVPBDKSkORhdq4tkVxo3XZOoa2nBtAs7gkOjwUSU9um.boLJo52k4Ca4dA--?v=2,F1105-944-482,"A sharp yet rustic boot inspired by well-worn Western classics. Snip-toe silhouette with deliberately tilted shaft in hand-worked, vegetable-tanned calfskin brushed to a rich patina. Stitched welt and stacked leather heel.",1680.00,USD,https://khaite.com/products/clive-boot-35-in-vintage-black,32,470.40000000000,1,2,629,0.031250,0.062500
MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/YUv4ufocVNkkTaUk6.o.6g7GA2nC9PqyBDPfEz_uOhz0qLHwN_RJDmTrLENlqkfHWHIgbPhUdAylZbOJMVO7Tjlu..ivDYYS.zvzHSYNRqeRnW6C85da2xl60iQ0rkvD8E4AbgmooIewnAW16dCgR6s8sZCllizqBVGvaw--?v=2,,"Free shipping and returns on MOTHER The Dodger Skimp High Waist Cuffed Hem Wide Leg Jeans at Nordstrom.com. <p>Cuffed wide legs add to the vintage-chic vibe of these slouchy, low-slung jeans crafted from faded nonstretch denim in Los Angeles.</p>",189.99,USD,https://www.nordstrom.com/s/the-dodger-skimp-high-waist-cuffed-hem-wide-leg-jeans-leap-of-faith/8258875?origin=coordinating-8258875-0-3-PDP_1-recbot-vertex_recs_ymal_atwl_v2&recs_placement=PDP_1&recs_strategy=vertex_recs_ymal_atwl_v2&recs_source=recbot&recs_page_type=product&recs_seed=8258877&color=LEAP%20OF%20FAITH,197,441.04200000000,19,121,129792,0.096446,0.614213
Akris Double-Face Wool Sheath Dress,Bergdorf Goodman,https://product-images-cdn.liketoknow.it/Lnab1a9.vUD4GXkHI7iLuMwmi2uEeGKaZrW4jHcJub.JtTvCK0G6DcnnkaGAH3W6LHmz94tHr_FnrMFuheL8kWR4sUWaGoAYAGQWiYKlfXwGA_G7BtzQ6jHJAQyXWooX5HE-?v=2,,Get free shipping on Akris Double-Face Wool Sheath Dress at Bergdorf Goodman. Shop the latest luxury fashions from top designers.,3490.00,USD,https://www.bergdorfgoodman.com/p/akris-double-face-wool-sheath-dress-prod188040136,1,439.74000000000,1,1,1080,1.000000,1.000000
Checkout | Bottega Veneta,Bottega Veneta,https://product-images-cdn.liketoknow.it/1B2M2Y8AsgTpgAmY88R2dEG.c3hK2F0ixsW7Bw--?v=2,advertiser_url,Checkout | Bottega Veneta,0.00,USD,https://www.bottegaveneta.com/en-us/checkout,1,435.75000000000,1,1,251,1.000000,1.000000
Cotton Cropped Sweater: Women's Designer Sweaters | Tory Sport,Tory Burch (US),https://product-images-cdn.liketoknow.it/xZJagq8mDwY2fE91fKpXpImXs_u626vY97QhhI1rqF3coAB2FQWXO5kdumk38CJH9f_poU1ioR9aMrmGgmDZ21DdSJoDj_Ivlu6hTSco7E0yJZTo2tqH4WJvqUvN5t7n6ebv54i7isUgyRuvW1HtBdGesaHbOFeOeRxBaXCKOBOo6hQ.CpfArhgNSRAmffaE?v=2,,"Shop Tory Sport women's designer Clothing including the Cotton Cropped Sweater. Get free shipping & returns on designer shoes, handbags, clothing & more at ToryBurch.com.",328.00,USD,https://www.toryburch.com/en-us/clothing/sweaters/cotton-cropped-sweater/166703.html?color=007&size=S,8,362.36200000000,1,9,684,0.125000,1.125000
