Analytics overview
2024-09-28 - 2024-10-28
Content types,All
Devices,All
Source,All
Publish Types,
Age,All
Gender,All
Claimed accounts,All Pins
Format,All
Curated content,Not included

Date,Total audience
2024-09-28,
2024-09-29,
2024-09-30,
2024-10-01,
2024-10-02,
2024-10-03,
2024-10-04,
2024-10-05,
2024-10-06,
2024-10-07,
2024-10-08,10
2024-10-09,27
2024-10-10,28
2024-10-11,28
2024-10-12,29
2024-10-13,30
2024-10-14,32
2024-10-15,32
2024-10-16,11
2024-10-17,14
2024-10-18,8
2024-10-19,11
2024-10-20,13
2024-10-21,7
2024-10-22,20
2024-10-23,16
2024-10-24,56
2024-10-25,62
2024-10-26,86
2024-10-27,
2024-10-28,

Top Boards 2024-09-28 - 2024-10-28
Pinterest Link,Impressions,Engagement,Pin clicks,Outbound clicks,Saves
https://www.pinterest.com/tiffanywendelstylist/_tpd_social/,1946,64,52,16,1
https://www.pinterest.com/tiffanywendelstylist/_quick_creates/,508,70,63,10,0
Top boards table is restricted to data from the last 6 months.

Top Pins 2024-09-28 - 2024-10-28
Pinterest Link,Content Type,Source,Canonical,Impressions
https://www.pinterest.com/pin/235313149274003107/,Organic,From you,Yes,211
https://www.pinterest.com/pin/88735055148704955/,Organic,"From you, Not from you.",Yes,142
https://www.pinterest.com/pin/235313149274003105/,Organic,From you,Yes,139
https://www.pinterest.com/pin/235313149274003108/,Organic,From you,Yes,75
https://www.pinterest.com/pin/515591857358773568/,Organic,Not from you.,Yes,70
https://www.pinterest.com/pin/235313149274003169/,Organic,From you,Yes,49
https://www.pinterest.com/pin/235313149274003176/,Organic,From you,Yes,47
https://www.pinterest.com/pin/235313149274044549/,Organic,From you,No,40
https://www.pinterest.com/pin/235313149274003170/,Organic,From you,Yes,40
https://www.pinterest.com/pin/235313149274003177/,Organic,From you,Yes,40
https://www.pinterest.com/pin/100064422965358835/,Organic,Not from you.,Yes,39
https://www.pinterest.com/pin/235313149274003184/,Organic,From you,Yes,38
https://www.pinterest.com/pin/235313149274003153/,Organic,From you,Yes,38
https://www.pinterest.com/pin/235313149274007740/,Organic,From you,Yes,37
https://www.pinterest.com/pin/235313149274044563/,Organic,From you,No,37
https://www.pinterest.com/pin/235313149274044526/,Organic,From you,No,37
https://www.pinterest.com/pin/235313149274003164/,Organic,From you,Yes,37
https://www.pinterest.com/pin/235313149274040238/,Organic,From you,Yes,36
https://www.pinterest.com/pin/235313149274044543/,Organic,From you,No,36
https://www.pinterest.com/pin/235313149274003146/,Organic,From you,Yes,36
https://www.pinterest.com/pin/235313149274003166/,Organic,From you,Yes,36
https://www.pinterest.com/pin/235313149274036976/,Organic,From you,Yes,35
https://www.pinterest.com/pin/235313149274003174/,Organic,From you,Yes,33
https://www.pinterest.com/pin/235313149274044529/,Organic,From you,No,33
https://www.pinterest.com/pin/235313149274044522/,Organic,From you,No,31
https://www.pinterest.com/pin/235313149274023021/,Organic,From you,Yes,30
https://www.pinterest.com/pin/235313149274034168/,Organic,From you,Yes,30
https://www.pinterest.com/pin/235313149274044539/,Organic,From you,No,30
https://www.pinterest.com/pin/235313149274044521/,Organic,From you,No,29
https://www.pinterest.com/pin/235313149274003162/,Organic,From you,Yes,29
https://www.pinterest.com/pin/235313149274003106/,Organic,From you,Yes,28
https://www.pinterest.com/pin/235313149274001546/,Organic,From you,No,28
https://www.pinterest.com/pin/235313149274044520/,Organic,From you,No,28
https://www.pinterest.com/pin/235313149274016850/,Organic,From you,Yes,28
https://www.pinterest.com/pin/235313149274034140/,Organic,From you,Yes,27
https://www.pinterest.com/pin/420805158948751708/,Organic,Not from you.,Yes,26
https://www.pinterest.com/pin/554294666647624219/,Organic,Not from you.,Yes,26
https://www.pinterest.com/pin/235313149274003161/,Organic,From you,Yes,25
https://www.pinterest.com/pin/235313149274003126/,Organic,From you,Yes,24
https://www.pinterest.com/pin/235313149274001548/,Organic,From you,No,24
https://www.pinterest.com/pin/235313149274003101/,Organic,From you,Yes,24
https://www.pinterest.com/pin/235313149274044519/,Organic,From you,No,24
https://www.pinterest.com/pin/235313149274044518/,Organic,From you,No,24
https://www.pinterest.com/pin/235313149274003154/,Organic,From you,Yes,22
https://www.pinterest.com/pin/235313149274044516/,Organic,From you,No,21
https://www.pinterest.com/pin/235313149274052959/,Organic,From you,No,21
https://www.pinterest.com/pin/235313149274044512/,Organic,From you,No,20
https://www.pinterest.com/pin/235313149274002953/,Organic,From you,No,19
https://www.pinterest.com/pin/235313149274003147/,Organic,From you,Yes,19
https://www.pinterest.com/pin/235313149274003160/,Organic,From you,Yes,19
Top pins table is restricted to data from the last 6 months.

